seasonId,playerId,passingYards,passingTouchdowns,interceptions,rushingYards,fumbles,receptions,receivingTouchdowns,receivingYards,rushingTouchdowns,year
0,2,4299,48,5,149,2,1,0,-6,3,2020
1,51,4544,37,10,421,6,1,1,12,8,2020
2,88,4740,38,6,308,2,0,0,0,2,2020
3,93,4212,40,13,513,4,0,0,0,2,2020
4,65,4823,33,7,444,3,0,0,0,3,2020
5,101,3971,26,12,819,4,0,0,0,11,2020
6,84,4633,40,12,6,1,0,0,0,3,2020
7,86,3819,33,7,266,1,1,0,0,7,2020
8,87,4336,31,10,234,1,0,0,0,5,2020
9,81,2757,26,9,1005,4,0,0,0,7,2020
10,14,4265,35,13,156,5,0,0,0,1,2020
11,7,4581,26,11,92,3,0,0,0,2,2020
12,103,3803,33,10,11,1,0,0,0,0,2020
13,90,4103,27,9,140,8,0,0,0,3,2020
14,66,4084,26,10,112,1,0,0,0,0,2020
15,6,3563,26,8,165,4,1,0,6,1,2020
16,94,4169,24,11,-8,1,0,0,0,0,2020
17,91,3952,20,13,99,4,0,0,0,4,2020
18,37,3733,15,11,279,3,0,0,0,5,2020
19,55,2657,8,10,592,1,2,1,35,12,2020
20,79,2942,24,6,-2,2,0,0,0,2,2020
21,22,2620,16,15,276,4,0,0,0,5,2020
22,44,2933,16,15,160,3,0,0,0,3,2020
23,92,2943,11,10,423,6,0,0,0,1,2020
24,30,2688,13,5,142,4,0,0,0,3,2020
25,0,2259,16,5,153,4,1,0,0,1,2020
26,29,2055,16,8,195,2,0,0,0,1,2020
27,77,2091,13,8,151,0,1,0,0,2,2020
28,10,2170,14,8,114,1,1,0,-3,0,2020
29,31,1856,9,4,93,3,1,1,11,3,2020
30,82,1814,11,5,109,1,0,0,0,3,2020
31,62,2208,9,11,217,2,0,0,0,2,2020
32,42,2437,12,12,8,4,0,0,0,0,2020
33,73,1852,10,8,1,0,0,0,0,1,2020
34,25,1061,6,4,354,2,1,0,3,3,2020
35,34,1582,6,8,3,0,0,0,0,0,2020
36,45,1439,5,7,46,3,0,0,0,1,2020
37,23,1096,7,5,25,0,0,0,0,0,2020
38,17,1072,7,5,17,2,0,0,0,0,2020
39,15,864,6,3,22,0,0,0,0,0,2020
40,3,787,6,0,28,3,0,0,0,0,2020
41,97,925,5,4,27,1,0,0,0,0,2020
42,35,610,4,1,26,1,0,0,0,1,2020
43,52,432,3,2,28,0,0,0,0,0,2020
44,60,624,2,6,13,0,0,0,0,1,2020
45,1,226,1,1,88,0,0,0,0,1,2020
46,74,248,2,0,-2,0,0,0,0,1,2020
47,27,324,2,1,-6,0,0,0,0,0,2020
48,72,375,1,1,12,1,0,0,0,0,2020
49,18,143,2,0,16,0,0,0,0,0,2020
50,48,164,1,2,66,0,0,0,0,1,2020
51,28,17,0,0,19,0,0,0,0,3,2020
52,5,295,2,4,-5,0,0,0,0,0,2020
53,71,243,1,1,28,0,0,0,0,0,2020
54,36,256,2,3,7,0,0,0,0,0,2020
55,32,137,1,0,22,0,0,0,0,0,2020
56,58,231,0,1,56,0,0,0,0,0,2020
57,12,264,1,2,16,0,0,0,0,0,2020
58,13,90,1,0,17,0,0,0,0,0,2020
59,11,197,1,1,-6,0,0,0,0,0,2020
60,43,368,1,5,-2,0,0,0,0,0,2020
61,33,105,1,1,15,0,0,0,0,0,2020
62,46,208,0,0,7,0,0,0,0,0,2020
63,61,219,0,0,22,2,0,0,0,0,2020
64,47,75,0,0,-6,0,0,0,0,0,2020
65,76,0,0,0,24,0,0,0,0,0,2020
66,16,130,0,1,8,1,0,0,0,0,2020
67,75,42,0,2,69,1,0,0,0,0,2020
68,8,2,0,0,20,0,0,0,0,0,2020
69,106,7,0,0,10,0,0,0,0,0,2020
70,39,33,0,0,-2,0,0,0,0,0,2020
71,21,25,0,0,9,0,0,0,0,0,2020
72,70,46,0,0,0,0,0,0,0,0,2020
73,19,15,0,0,23,0,0,0,0,0,2020
74,59,4,0,0,-2,0,0,0,0,0,2020
75,49,0,0,0,-4,0,0,0,0,0,2020
76,102,20,0,0,0,0,0,0,0,0,2020
77,98,18,0,0,0,0,0,0,0,0,2020
78,96,0,0,0,-9,0,0,0,0,0,2020
79,67,49,0,1,18,0,0,0,0,0,2020
80,50,32,0,1,12,1,0,0,0,0,2020
81,172,0,0,0,2027,2,19,0,114,17,2020
82,154,0,0,0,1557,3,44,1,361,16,2020
83,161,0,0,0,932,0,83,5,756,16,2020
84,182,0,0,0,1169,1,36,1,299,11,2020
85,110,0,0,0,1104,0,47,2,355,9,2020
86,193,0,0,0,1070,1,54,2,438,8,2020
87,169,0,0,0,1070,1,49,3,344,7,2020
88,157,0,0,0,1065,2,33,0,238,12,2020
89,138,0,0,0,1067,1,16,0,150,12,2020
90,168,0,0,0,841,0,38,5,304,6,2020
91,175,0,0,0,979,5,52,2,338,6,2020
92,258,0,0,0,986,4,32,1,158,9,2020
93,183,0,0,0,795,2,36,0,247,11,2020
94,181,0,0,0,955,1,25,0,137,10,2020
95,189,0,0,0,978,2,28,1,165,7,2020
96,227,0,0,0,805,0,18,0,120,9,2020
97,135,0,0,0,681,0,37,4,287,5,2020
98,147,0,0,0,642,1,59,2,373,6,2020
99,124,0,0,0,691,1,33,2,314,6,2020
100,210,0,0,0,521,2,46,2,357,8,2020
101,130,0,0,0,867,2,28,0,197,6,2020
102,238,0,0,0,803,0,36,1,297,4,2020
103,243,0,0,0,678,0,25,0,164,9,2020
104,111,0,0,0,600,2,13,3,133,7,2020
105,203,0,0,0,380,0,63,4,482,3,2020
106,163,0,0,0,721,0,35,0,215,6,2020
107,239,0,0,0,584,2,41,2,388,3,2020
108,126,0,0,0,723,1,9,0,129,6,2020
109,186,0,0,0,682,0,21,0,114,6,2020
110,229,0,0,0,624,0,16,1,159,5,2020
111,196,0,0,0,604,0,12,0,101,7,2020
112,199,0,0,0,530,0,54,2,403,1,2020
113,244,0,0,0,365,1,80,2,589,1,2020
114,116,0,0,0,656,0,23,1,176,4,2020
115,180,0,0,0,448,0,53,4,402,1,2020
116,192,0,0,0,416,1,47,3,355,3,2020
117,265,0,0,0,687,1,38,0,269,2,2020
118,127,0,0,0,505,0,31,1,236,2,2020
119,206,0,0,0,367,0,36,0,233,6,2020
120,167,0,0,0,319,0,33,1,253,5,2020
121,200,0,0,0,625,1,11,1,123,2,2020
122,256,0,0,0,691,0,5,0,52,2,2020
123,207,0,0,0,435,0,28,1,193,4,2020
124,159,0,0,0,521,1,16,1,156,2,2020
125,223,0,0,0,481,0,14,1,95,4,2020
126,170,0,0,0,653,1,16,0,89,2,2020
127,152,0,0,0,419,1,23,0,162,5,2020
128,263,0,0,0,428,1,21,1,138,3,2020
129,146,0,0,0,274,0,25,3,192,3,2020
130,119,0,0,0,225,0,17,1,149,5,2020
131,208,0,0,0,434,0,13,1,125,2,2020
132,252,0,0,0,449,0,7,1,114,1,2020
133,118,0,0,0,368,1,10,0,61,4,2020
134,225,0,0,0,356,0,16,0,93,4,2020
135,150,0,0,0,121,0,49,1,375,2,2020
136,222,0,0,0,374,0,25,1,212,1,2020
137,266,0,0,0,465,1,25,0,199,1,2020
138,143,0,0,0,423,0,17,0,84,3,2020
139,219,0,0,0,303,0,29,0,166,3,2020
140,179,0,0,0,502,0,7,0,28,1,2020
141,220,0,0,0,319,0,11,0,61,3,2020
142,202,0,0,0,64,0,19,4,202,2,2020
143,187,0,0,0,328,0,16,0,138,2,2020
144,133,0,0,0,354,2,23,0,148,2,2020
145,185,0,0,0,235,2,28,1,249,1,2020
146,190,0,0,0,301,0,11,0,66,3,2020
147,134,0,0,0,181,1,19,1,187,2,2020
148,205,0,0,0,258,0,4,0,12,4,2020
149,131,0,0,0,308,0,12,0,105,1,2020
150,128,0,0,0,254,0,16,1,99,1,2020
151,226,0,0,0,270,0,19,0,173,0,2020
152,141,0,0,0,299,0,6,0,50,2,2020
153,245,0,0,0,232,0,11,0,63,2,2020
154,194,0,0,0,242,0,2,0,21,2,2020
155,129,0,0,0,108,0,17,1,111,2,2020
156,121,0,0,0,115,2,19,1,127,2,2020
157,113,0,0,0,268,0,17,0,75,1,2020
158,228,0,0,0,238,0,3,1,19,1,2020
159,201,0,0,0,169,0,18,0,116,1,2020
160,213,0,0,0,172,0,7,0,58,1,2020
161,259,0,0,0,157,0,6,0,29,2,2020
162,246,0,0,0,60,0,1,0,-3,4,2020
163,234,0,0,0,254,1,9,0,96,0,2020
164,151,0,0,0,97,1,7,1,65,1,2020
165,139,0,0,0,204,0,12,0,55,1,2020
166,240,0,0,0,156,0,9,0,59,1,2020
167,115,0,0,0,123,0,19,0,138,1,2020
168,232,0,0,0,63,0,1,0,20,2,2020
169,221,0,0,0,88,0,9,1,90,0,2020
170,204,0,0,0,148,0,7,0,33,1,2020
171,231,0,0,0,170,0,12,0,81,0,2020
172,158,0,0,0,42,0,8,2,58,0,2020
173,195,0,0,0,20,0,20,1,146,0,2020
174,132,0,0,0,77,0,1,0,4,2,2020
175,114,0,0,0,109,1,5,1,34,0,2020
176,209,0,0,0,145,0,10,0,54,0,2020
177,178,0,0,0,18,0,8,1,97,0,2020
178,260,0,0,0,70,0,1,1,22,0,2020
179,184,0,0,0,157,1,5,0,30,0,2020
180,247,0,0,0,166,0,3,0,14,0,2020
181,327,0,0,0,0,1,115,18,1374,0,2020
182,346,0,0,0,123,0,87,15,1276,2,2020
183,308,0,0,0,1,0,127,8,1535,0,2020
184,418,0,0,0,1,1,90,9,1374,0,2020
185,347,0,0,0,0,1,83,10,1303,0,2020
186,295,0,0,0,2,0,88,7,1400,0,2020
187,360,0,0,0,0,0,70,13,1006,0,2020
188,415,0,0,0,15,0,74,14,925,0,2020
189,283,0,0,0,1,2,115,6,1407,0,2020
190,297,0,0,0,0,1,70,11,1075,0,2020
191,286,0,0,0,0,0,100,10,1054,0,2020
192,299,0,0,0,-1,0,102,6,1250,0,2020
193,329,0,0,0,155,1,90,6,936,2,2020
194,321,0,0,0,0,0,81,6,1150,0,2020
195,269,0,0,0,16,1,62,9,873,2,2020
196,354,0,0,0,0,0,76,9,978,0,2020
197,307,0,0,0,14,0,92,5,1114,0,2020
198,273,0,0,0,-1,2,100,8,992,0,2020
199,282,0,0,0,22,0,66,4,1193,0,2020
200,352,0,0,0,0,0,53,8,879,0,2020
201,394,0,0,0,30,1,87,4,1118,0,2020
202,365,0,0,0,0,0,48,8,896,0,2020
203,267,0,0,0,0,1,97,9,831,0,2020
204,355,0,0,0,15,1,88,7,923,0,2020
205,363,0,0,0,82,1,74,5,935,1,2020
206,357,0,0,0,200,0,77,3,851,2,2020
207,403,0,0,0,0,1,65,5,984,0,2020
208,345,0,0,0,15,1,95,3,1096,0,2020
209,410,20,1,0,0,0,82,4,967,0,2020
210,289,0,0,0,28,1,67,6,908,0,2020
211,332,0,0,0,0,0,65,7,840,0,2020
212,274,0,0,0,77,0,60,5,748,2,2020
213,406,0,0,0,1,0,58,8,769,0,2020
214,292,0,0,0,33,1,92,3,974,0,2020
215,369,74,1,0,10,0,72,3,840,1,2020
216,306,43,1,0,14,0,59,6,699,0,2020
217,317,0,0,0,0,0,59,5,843,0,2020
218,287,16,0,0,49,0,79,4,841,0,2020
219,373,39,1,0,9,0,72,4,786,0,2020
220,322,0,0,0,0,0,51,6,742,0,2020
221,400,0,0,0,0,0,56,5,762,0,2020
222,284,0,0,0,0,0,52,3,856,0,2020
223,278,0,0,0,1,0,48,5,756,0,2020
224,351,0,0,0,13,1,33,6,690,0,2020
225,325,0,0,0,0,0,63,4,793,0,2020
226,294,0,0,0,12,0,61,5,726,0,2020
227,389,0,0,0,0,0,53,5,706,0,2020
228,318,0,0,0,0,0,35,7,599,0,2020
229,298,0,0,0,3,0,48,6,621,0,2020
230,277,0,0,0,91,0,58,5,600,0,2020
231,412,0,0,0,0,0,51,3,771,0,2020
232,378,0,0,0,49,0,66,3,656,1,2020
233,377,0,0,0,-1,1,50,3,751,0,2020
234,324,0,0,0,2,0,55,5,642,0,2020
235,404,0,0,0,0,0,44,5,629,0,2020
